字號,字,頻次
5489,㳂,152
5490,鉛,236
5491,鈆,156
5493,捐,207
5494,鳶,1
5496,緣,267
5500,旋,188
5506,㳬,1
5507,琁,1
5508,璇,8
5517,娟,22
5524,船,335
5525,舩,281
5526,鞭,323
5529,編,220
5532,㳄,128
5533,涎,143
5534,詮,2
5535,銓,3
5536,硂,1
5537,痊,12
5541,筌,1
5547,荃,3
5552,拴,3
5553,專,219
5554,甎,291
5560,膞,40
5566,篅,6
5567,圌,6
5573,員,204
5574,圜,277
5575,圓,366
5576,湲,2
5581,栓,4
5585,乾,205
5586,虔,163
5587,犍,71
5593,揵,69
5594,愆,9
5598,褰,1
5599,騫,1
5604,權,308
5605,拳,329
5608,顴,137
5613,𤷄,1
5622,鬈,1
5625,蜷,1
5626,捲,3
5627,椽,96
5628,傳,336
5629,攣,2
5634,棬,268
5637,焉,25
5639,蔫,80
5641,鄢,1
5644,焉,128
5650,蕭,266
5651,簫,183
5653,蟰,1
5667,佻,1
5668,挑,288
5677,貂,173
5680,刁,233
5682,凋,13
5685,雕,208
5686,鵰,146
5688,彫,14
5699,迢,6
5700,條,354
5703,跳,202
5709,苕,2
5711,調,206
5712,鮡,2
5721,驍,4
5722,梟,2
5724,澆,179
5726,釗,1
5727,邀,1
5730,聊,194
5733,膫,1
5735,遼,187
5738,寥,152
5742,撩,162
5745,僚,5
5746,寮,19
5747,鐐,4
5750,鷯,1
5755,蟟,1
5756,瞭,5
5762,繚,10
5764,獠,1
5765,髎,2
5770,嘹,9
5772,堯,204
5774,僥,21
5784,幺,160
5794,宵,180
5795,消,268
5796,霄,177
5797,捎,3
5798,逍,3
5801,銷,162
5802,焇,5
5803,硝,177
5804,蛸,1
5806,哨,4
5809,𤞚,3
5813,魈,1
5814,超,345
5816,欩,1
5820,朝,304
5821,𦩻,246
5824,晁,1
5826,朝,201
5827,潮,298
5828,嚻,181
5829,枵,53
5838,樵,210
5839,⿳艹椎木,131
5841,憔,2
5851,撨,4
5853,驕,280
5854,嬌,204
5861,撟,9
5862,焦,277
5863,𤓪,205
5865,蕉,195
5869,椒,275
5870,茮,223
5879,饒,259
5880,橈,107
5883,蟯,1
5884,蕘,1
5885,燒,353
5887,遙,34
5889,傜,1
5893,窯,230
5894,窰,212
5897,珧,1
5900,姚,178
5901,搖,318
5902,謠,175
5911,洮,2
5919,瑤,6
5923,韶,193
5924,㲈,157
5933,昭,198
5935,鉊,1
5936,招,323
5937,釗,2
5940,飊,5
5941,標,275
5943,杓,1
5955,鑣,1
5956,𧥍,1
5957,臕,119
5958,儦,2
5962,瓢,240
5964,剽,1
5965,薸,33
5973,苗,266
5974,描,188
5976,貓,158
5977,猫,130
5978,要,197
5979,腰,262
5983,䙅,1
5984,邀,178
5987,鴞,1
5989,喬,190
5990,橋,348
5992,僑,181
5993,㝯,141
6000,蕎,159
6002,蹻,1
6005,鍫,165
6006,鐰,5
6012,妖,203
6016,夭,16
6017,蹻,2
6020,蹺,20
6025,𤐫,1
6026,漂,45
6029,嫖,159
6032,鏢,15
6035,飄,295
6042,瞟,1
6052,燎,192
6053,髎,2
6056,橇,1
6057,鞽,1
6058,肴,171
6059,餚,142
6060,崤,2
6065,姣,10
6068,爻,1
6069,淆,159
6071,胶,1
6077,交,339
6078,蛟,14
6079,茭,17
6081,膠,222
6082,鮫,1
6083,咬,5
6084,郊,180
6089,教,186
6093,鉸,24
6094,佼,1
6100,巢,299
6108,鐃,107
6117,梢,177
6118,捎,145
6124,筲,4
6125,鞘,1
6134,茅,202
6136,貓,295
6154,嘐,3
6159,包,305
6160,胞,171
6161,枹,3
6162,苞,12
6167,脬,7
6168,拋,211
6169,泡,229
6173,敲,292
6174,跤,8
6175,骹,32
6191,抓,341
6194,嘲,3
6196,啁,7
6198,鵃,1
6200,抄,282
6201,鈔,195
6205,庖,5
6206,咆,1
6207,匏,28
6208,炮,13
6209,炰,10
6210,鉋,8
6212,麃,17
6217,跑,81
6220,泡,1
6224,坳,164
6228,咬,2
6232,嘮,4
6238,豪,222
6239,號,118
6240,毫,200
6241,嗥,1
6242,獋,1
6243,濠,130
6244,壕,148
6251,高,374
6252,膏,191
6254,皋,1
6255,羔,178
6256,餻,43
6259,咎,1
6260,鼛,1
6262,篙,173
6272,勞,217
6273,澇,16
6274,牢,301
6275,窂,246
6280,醪,8
6281,撈,271
6294,蒿,150
6296,撓,117
6298,薅,98
6299,茠,87
6300,𣐾,87
6301,毛,375
6302,髦,6
6305,旄,1
6313,韜,3
6314,縚,2
6316,滔,198
6317,叨,11
6331,搯,140
6339,刀,317
6346,騷,213
6347,搔,1
6348,繅,3
6349,繰,10
6350,臊,255
6354,鱢,1
6355,⿰木叜,1
6356,䑹,1
6359,袍,314
6360,袌,220
6362,襃,148
6363,褒,202
6364,𠅬,2
6366,陶,194
6370,桃,311
6372,燾,4
6373,逃,214
6377,濤,186
6378,掏,9
6381,萄,159
6391,糟,316
6392,𦵩,239
6393,醩,239
6394,遭,189
6395,㷮,3
6400,敖,5
6401,遨,20
6402,翺,1
6403,聱,1
6405,熬,307
6411,鼇,1
6412,螯,1
6414,嗸,1
6415,嗷,3
6424,鰲,17
6425,曹,279
6426,𣍘,231
6427,槽,212
6429,嘈,4
6432,艚,1
6437,漕,1
6439,𤏶,50
6442,猱,1
6450,尻,5
6452,操,317
6460,歌,321
6461,謌,246
6462,柯,26
6467,戕,1
6469,哥,298
6471,蹉,1
6473,搓,216
6474,磋,9
6478,多,401
6479,娑,9
6480,挱,2
6481,挲,7
6490,駝,258
6491,駞,190
6496,陀,33
6499,沱,1
6502,池,1
6505,馱,158
6512,佗,6
6532,莪,8
6533,哦,2
6534,娥,5
6535,䄉,1
6536,峩,2
6537,鵝,333
6538,俄,174
6540,蛾,198
6545,佗,171
6546,他,220
6547,拕,284
6548,它,2
6552,羅,283
6553,蘿,48
6554,籮,229
6559,囉,35
6560,鑼,308
6565,挪,155
6566,儺,1
6571,何,219
6572,河,391
6573,荷,210
6574,菏,1
6575,苛,18
6576,蚵,4
6577,魺,1
6578,訶,1
6579,呵,2
6583,珂,4
6586,軻,14
6587,阿,283
6589,痾,5
6594,戈,160
6595,過,174
6597,鍋,253
6612,莎,106
6616,趖,2
6617,蓑,250
6618,唆,208
6621,梭,186
6622,𣜤,142
6624,婆,418
6626,鄱,2
6636,摩,168
6637,𩞁,106
6640,魔,210
6642,磨,317
6647,矬,39
6648,痤,1
6652,訛,143
6653,譌,127
6654,吪,131
6658,厄,1
6666,騾,244
6667,驘,163
6671,螺,317
6672,蠃,223
6678,腡,177
6682,波,315
6688,頗,146
6689,坡,261
6691,玻,209
6692,和,255
6693,咊,8
6695,禾,270
6701,科,259
6702,窠,121
6704,稞,1
6706,蝌,10
6709,課,1
6715,倭,117
6717,渦,2
6719,𡑟,24
6720,踒,49
6722,鞾,248
6723,靴,320
6730,伽,6
6731,茄,420
6732,枷,1
6737,迦,3
6742,瘸,197
6744,麻,407
6746,蟆,134
6749,痲,150
6752,車,377
6754,奢,198
6755,賖,285
6756,畬,8
6757,邪,4
6758,耶,153
6759,瑘,4
6762,椰,6
6770,遮,335
6774,嗟,8
6786,蛇,434
6787,虵,327
6789,華,232
6793,鋘,4
6794,鏵,139
6795,釫,3
6796,樺,21
6798,划,187
6799,瓜,402
6803,蝸,159
6804,媧,2
6806,華,284
6807,花,404
6808,譁,12
6810,誇,184
6812,夸,40
6814,跨,5
6815,胯,1
6818,拏,334
6827,嘉,183
6828,家,501
6829,加,265
6830,葭,1
6831,笳,1
6836,痂,136
6838,枷,24
6839,袈,4
6845,茄,7
6846,迦,3
6848,瘕,1
6853,遐,132
6854,蝦,195
6856,霞,253
6857,瑕,136
6864,葩,10
6865,鈀,126
6871,鴉,251
6872,鵶,8
6875,椏,148
6876,丫,173
6879,巴,279
6880,鈀,1
6881,笆,16
6883,芭,217
6886,吧,5
6887,叉,341
6888,杈,158
6889,差,208
6895,艖,1
6896,鯊,2
6897,魦,2
6898,沙,373
6899,砂,301
6900,裟,4
6903,紗,214
6907,牙,400
6908,衙,175
6909,芽,252
6911,呀,3
6914,樝,156
6915,柤,175
6921,溠,5
6922,渣,267
6930,𣘻,318
6931,茶,417
6941,衺,7
6942,斜,366
6943,邪,282
6946,余,143
6951,洼,18
6953,蛙,239
6954,窪,138
6955,哇,3
6956,髽,27
6961,爬,372
6962,杷,199
6963,琶,161
6964,楂,20
6965,查,78
6966,槎,11
6971,哆,2
6989,㤉,1
6994,些,193
6995,爹,284
6999,陽,199
7001,楊,259
7002,揚,194
7005,羊,364
7008,佯,2
7009,詳,141
7010,徉,3
7011,洋,204
7012,烊,144
7013,煬,7
7018,瘍,157
7022,蛘,1
7030,詳,73
7032,翔,23
7033,庠,5
7034,祥,198
7038,良,255
7039,梁,198
7040,粱,178
7041,粮,196
7042,糧,248
7043,涼,282
7044,凉,226
7046,量,211
7056,香,308
7058,薌,1
7059,鄉,255
7061,商,209
7062,𧶜,4
7063,傷,290
7065,殤,2
7068,湯,1
7080,房,345
7081,防,220
7082,坊,8
7083,魴,2
7084,方,15
7085,肪,14
7087,章,312
7088,漳,13
7089,樟,199
7091,璋,11
7092,彰,10
7094,障,2
7095,麞,1
7096,獐,5
7102,昌,288
7104,倡,13
7105,猖,18
7108,鯧,19
7109,菖,147
7110,羌,162
7111,猐,129
7112,𡺛,129
7113,蜣,1
7114,薑,243
7115,䕬,193
7116,畺,156
7117,疆,202
7118,壃,1
7121,繮,141
7122,韁,133
7123,殭,2
7124,礓,88
7126,姜,235
7128,僵,176
7129,長,338
7131,腸,270
7132,場,205
7137,張,415
7140,漲,3
7141,穰,34
7142,禳,2
7143,攘,1
7156,瓤,254
7158,方,361
7160,坊,54
7162,肪,132
7163,邡,1
7165,枋,22
7166,鈁,1
7171,襄,156
7172,廂,180
7173,湘,159
7174,相,209
7175,緗,1
7178,驤,3
7179,鑲,165
7180,瓖,1
7182,箱,261
7184,將,207
7185,漿,297
7187,蔣,3
7190,創,215
7191,瘡,306
7192,𠛂,239
7193,亡,218
7194,芒,160
7196,鋩,2
7197,硭,1
7202,望,1
7204,忘,17
7205,孃,2
7206,娘,360
7207,瓤,48
7209,牀,239
7210,床,319
7212,莊,213
7213,㽵,157
7214,妝,9
7215,裝,311
7217,常,282
7218,尚,1
7219,裳,170
7220,甞,186
7221,嘗,254
7224,償,186
7226,徜,3
7227,霜,308
7230,孀,141
7234,牆,294
7235,廧,223
7236,墻,235
7238,嬙,3
7239,檣,3
7240,薔,4
7241,蘠,1
7244,鏘,2
7246,槍,331
7247,蹌,1
7256,匡,162
7258,筐,291
7260,框,31
7266,眶,183
7269,王,404
7273,央,214
7274,鴦,26
7275,殃,185
7276,䄃,141
7278,秧,317
7281,泱,4
7282,強,374
7283,彊,66
7287,倀,1
7289,芳,220
7290,妨,186
7292,狂,309
7297,唐,252
7298,啺,199
7299,𥏬,199
7301,糖,267
7302,糛,203
7303,堂,300
7304,坣,245
7306,棠,176
7307,搪,4
7315,螳,148
7316,塘,217
7337,郎,287
7341,廊,202
7342,榔,5
7346,浪,1
7348,蜋,131
7350,琅,4
7352,㝗,6
7353,狼,265
7357,莨,2
7367,當,286
7368,鐺,2
7370,襠,6
7373,檔,7
7378,倉,299
7379,蒼,185
7380,鶬,1
7381,𩀞,1
7382,滄,15
7385,岡,175
7386,崗,194
7387,剛,199
7388,㓻,145
7390,笐,1
7391,鋼,222
7392,綱,185
7395,堈,26
7396,𤭛,19
7401,桑,391
7402,桒,274
7403,𠸶,125
7404,喪,170
7407,康,219
7408,穅,231
7409,糠,307
7421,荒,307
7423,肓,1
7426,鄺,1
7429,𧧢,7
7435,黃,406
7436,皇,215
7437,璜,6
7438,惶,10
7439,遑,1
7440,潢,1
7442,煌,13
7446,簧,166
7447,隍,6
7448,癀,10
7450,湟,1
7452,篁,3
7453,鱑,1
7454,蝗,168
7455,凰,15
7459,蟥,2
7467,光,411
7468,灮,292
7469,洸,1
7470,桄,1
7477,恍,11
7481,湯,308
7484,闛,1
7492,滂,160
7493,鎊,1
7497,磅,15
7499,汪,248
7511,炕,1
7515,航,251
7517,桁,1
7518,行,297
7526,杭,233
7529,肮,3
7532,吭,2
7533,茫,179
7537,恾,164
7538,忙,334
7539,朚,105
7541,芒,187
7547,臧,5
7548,匨,1
7551,贓,190
7553,囊,199
7555,傍,5
7557,膀,14
7558,髈,8
7562,旁,220
7565,螃,138
7571,昂,207
7575,藏,205
7577,幫,346
7578,縍,278
7582,庚,208
7584,更,235
7586,秔,4
7587,稉,134
7588,粳,163
7589,賡,1
7590,羹,189
7591,𩱧,124
7594,阬,275
7595,坑,342
7596,硎,273
7600,盲,200
7601,蝱,117
7608,橫,384
7609,黌,1
7613,喤,1
7636,觥,3
7641,彭,336
7642,澎,12
7643,膨,167
7644,蟚,1
7646,棚,85
7649,搒,3
7660,亨,167
7661,瞠,2
7662,橕,217
7663,樘,214
7666,鎗,3
7667,鐺,61
7668,槍,59
7670,傖,1
7674,崢,2
7680,英,218
7681,瑛,12
7687,亨,158
7688,澎,1
7689,平,420
7690,評,196
7691,苹,18
7694,坪,203
7697,驚,249
7698,京,226
7699,荊,174
7704,明,406
7705,盟,183
7706,𥁰,138
7708,鳴,184
7710,盯,4
7711,澄,209
7716,趟,3
7718,榮,365
7720,蠑,1
7721,瑩,7
7723,嶸,3
7724,兵,330
7725,兄,418
7726,卿,188
7727,生,510
7728,笙,144
7729,牲,218
7730,猩,9
7732,鉎,7
7733,甥,210
7737,擎,144
7742,䲔,142
7743,鯨,177
7748,迎,344
7749,行,363
7750,衡,176
7756,桁,19
7762,獰,3
7764,𧃱,46
7765,耕,261
7766,鏗,10
7767,銵,1
7780,羥,1
7785,萌,187
7786,氓,4
7787,甿,1
7793,浜,118
7795,宏,275
7799,嶸,1
7811,莖,163
7815,丁,1
7819,䟓,2
7822,甖,1
7823,罌,2
7825,鶯,175
7826,嚶,1
7827,櫻,199
7829,鸚,187
7835,崢,1
7842,錚,3
7854,姘,4
7864,轟,274
7865,輷,214
7867,揈,33
7868,訇,1
7874,繃,36
7877,拼,44
7879,橙,174
7887,瞪,6
7891,泓,2
7896,棚,289
7899,庄,1
7902,爭,443
7903,箏,167
7907,猙,3
7909,清,407
7911,情,321
7912,晴,297
7915,䝼,10
7916,精,447
7918,菁,1
7920,蜻,6
7921,晶,183
7924,睛,180
7926,旌,11
7927,旍,2
7931,盈,191
7932,嬴,6
7934,瀛,4
7936,楹,2
7937,贏,337
7943,營,355
7945,塋,122
7949,嬰,204
7951,纓,171
7955,蘡,1
7956,貞,200
7957,楨,3
7958,禎,6
7962,檉,1
7963,偵,187
7968,蟶,44
7970,成,409
7971,𢦩,328
7972,城,235
7973,誠,210
7974,宬,1
7977,盛,123
7980,呈,193
7981,程,368
7982,酲,1
7987,聲,418
7988,征,188
7989,𨒌,4
7993,鉦,1
7994,怔,1
7995,正,297
8001,輕,387
8004,名,394
8005,洺,1
8009,栟,1
8012,傾,284
8013,頃,4
8014,餳,1
8015,縈,39
8020,瓊,272
8021,璚,211
8022,煢,1
8023,焭,1
8041,頸,2
8046,青,396
8048,鯖,1
8049,蜻,138
8051,經,363
8052,涇,3
8055,㓝,5
8056,刑,183
8057,形,293
8058,邢,3
8063,型,183
8064,陘,25
8066,硎,2
8069,㼛,1
8070,𤭓,1
8072,庭,201
8073,停,294
8078,亭,196
8080,霆,1
8089,蜓,142
8090,廷,185
8091,㹶,1
8093,丁,222
8094,釘,299
8095,玎,1
8097,靪,71
8099,仃,6
8100,叮,21
8101,馨,133
8104,星,397
8105,曐,330
8106,腥,200
8112,鉎,5
8114,猩,17
8115,惺,2
8122,姘,135
8124,靈,328
8125,霛,275
8126,𩆈,276
8129,齡,6
8132,囹,1
8133,鴒,1
8135,蛉,1
8136,鈴,286
8139,苓,2
8143,伶,146
8145,瓴,1
8147,拎,144
8152,玲,18
8156,聆,1
8163,零,252
8165,令,1
8171,翎,127
8180,酃,1
8208,羚,5
8211,寧,217
8218,嚀,3
8219,聹,2
8220,汀,140
8224,聽,420
8225,廳,212
8234,冥,56
8236,銘,198
8238,溟,1
8240,螟,14
8244,瞑,7
8248,暝,11
8249,瓶,341
8250,缾,279
8253,屏,186
8257,萍,170
8258,蓱,134
8264,熒,4
8266,螢,232
8267,滎,67
8278,蒸,321
8279,䒱,263
8280,烝,260
8285,承,204
8286,丞,159
8288,澂,82
8289,澄,142
8290,瞪,57
8292,懲,180
8293,陵,193
8294,淩,7
8295,夌,1
8296,綾,4
8297,凌,179
8298,𠗲,1
8299,蔆,188
8300,菱,246
8301,䔖,187
8303,鯪,1
8304,崚,1
8311,膺,8
8312,應,280
8314,鷹,239
8315,凭,2
8317,憑,257
8320,冫,281
8321,冰,389
8323,蠅,300
8324,繩,340
8328,乘,205
8329,椉,153
8330,𠅞,153
8331,澠,77
8333,塍,136
8334,塖,101
8336,升,341
8337,昇,274
8339,勝,112
8341,仍,175
8342,艿,1
8346,扔,101
8349,兢,14
8350,矜,2
8351,徵,197
8353,癥,1
8355,繒,2
8361,凝,183
8362,興,261
8365,稱,222
8367,偁,1
8374,睖,1
8377,登,198
8379,燈,303
8385,楞,126
8386,棱,118
8387,稜,136
8391,僧,203
8394,崩,218
8395,增,254
8396,憎,154
8398,曾,219
8400,罾,2
8411,層,293
8412,曾,190
8414,朋,265
8416,鵬,21
8417,棚,1
8420,弘,173
8423,肱,1
8425,薨,1
8430,能,332
8431,騰,202
8432,滕,15
8436,藤,287
8437,謄,169
8440,𤻴,1
8441,鰧,1
8443,恆,207
8444,𢛢,169
8447,緪,1
8448,絙,1
8455,尤,188
8458,疣,1
8459,肬,1
8460,𪐤,1
8462,郵,224
8464,憂,217
8465,優,212
8481,劉,288
8482,留,294
8485,摎,2
8487,騮,1
8491,流,331
8492,㳅,245
8493,飂,1
8494,飀,1
8495,瘤,17
8496,榴,193
8498,旒,1
8499,瑠,147
8504,瀏,4
8507,鰡,1
8510,鎦,1
8515,餾,123
8520,硫,189
8521,遛,14
8523,憀,1
8524,鏐,1
8525,秋,307
8526,秌,246
8527,鞧,1
8528,緧,1
8529,𦃈,1
8530,鞦,96
8531,湫,1
8533,鰍,18
8534,楸,1
8542,猷,148
8543,猶,187
8544,悠,177
8545,油,301
8546,由,195
8547,攸,7
8554,輶,1
8557,蚰,7
8558,蝣,1
8562,斿,5
8563,游,175
8564,遊,12
8588,牛,367
8595,𩭓,28
8596,揂,1
8597,揫,74
8601,酋,9
8603,遒,1
8612,修,301
8613,羞,180
8618,抽,342
8619,𢭆,281
8620,㨨,281
8623,惆,1
8624,瘳,1
8628,㲃,8
8629,犫,5
8630,犨,5
8631,周,326
8632,州,257
8635,洲,181
8637,喌,2
8638,舟,175
8641,讎,241
8645,酬,189
8646,醻,140
8652,柔,223
8657,蹂,1
8659,鞣,1
8664,揉,147
8668,收,308
8669,丘,303
8670,丠,235
8672,蚯,15
8673,邱,33
8682,鳩,203
8688,鬮,194
8689,丩,136
8690,龜,9
8691,勼,5
8692,不,4
8697,𢯱,234
8698,搜,299
8699,𩜯,188
8700,䬒,123
8701,𣸈,10
8704,蒐,2
8714,搊,73
8720,謅,1
8721,鄒,211
8722,鄹,151
8724,騶,1
8736,愁,391
8738,休,333
8739,貅,1
8741,鵂,1
8749,咻,1
8751,囚,195
8752,泅,162
8753,汓,128
8757,儔,1
8759,躊,8
8760,幬,1
8761,𢃖,1
8764,疇,15
8765,紬,1
8766,綢,275
8767,稠,171
8771,籌,194
8775,椆,1
8785,輈,1
8789,侜,1
8796,𧚍,1
8797,裘,16
8798,仇,164
8801,求,258
8802,𡨃,196
8806,逑,7
8807,球,239
8808,璆,6
8818,俅,5
8829,毬,1
8839,訄,1
8840,浮,355
8842,桴,1
8845,罦,1
8850,罘,1
8854,蜉,1
8855,烰,1
8864,謀,311
8866,雺,1
8867,眸,2
8868,牟,3
8869,侔,1
8870,矛,249
8871,𢦵,195
8879,蝥,1
8880,蟊,3
8887,繆,2
8889,侯,215
8890,矦,162
8891,𥎦,162
8897,猴,304
8902,喉,264
8903,篌,1
8907,瘊,79
8913,謳,5
8914,嘔,11
8915,歐,229
8916,甌,157
8917,區,10
8918,漚,16
8919,鷗,1
8920,䁱,65
8921,瞘,65
8933,樓,319
8934,婁,6
8938,蔞,1
8942,僂,1
8944,耬,65
8945,髏,1
8946,膢,1
8949,摟,154
8950,嘍,1
8951,瞜,1
8952,螻,1
8953,簍,1
8970,摳,172
8975,夠,3
8977,齁,1
8981,陬,1
8984,諏,1
8985,偷,318
8989,頭,330
8991,投,214
8993,骰,5
9005,鉤,207
9007,溝,249
9011,篝,2
9018,枸,1
9019,句,206
9021,夠,34
9023,兜,255
9026,篼,7
9034,鯫,1
9047,幽,208
9054,虯,15
9061,彪,285
9081,繆,2
9084,侵,258
9085,𢔀,196
9087,浸,1
9091,尋,316
9092,𢒫,233
9094,潯,6
9103,撏,1
9107,林,387
9108,琳,4
9109,淋,219
9110,臨,201
9114,霖,4
9115,琛,15
9120,郴,2
9122,斟,173
9123,針,384
9124,鍼,283
9126,箴,12
9131,沈,320
9132,沉,360
9139,鈂,2
9140,碪,23
9141,砧,37
9142,椹,6
9143,枮,6
9145,諶,1
9146,愖,1
9147,訦,1
9148,忱,3
9152,任,129
9155,壬,162
9156,紝,3
9159,深,350
9161,淫,203
9171,撢,1
9176,心,379
9180,愔,1
9204,琴,302
9205,㩒,147
9206,捦,145
9207,擒,196
9208,黔,3
9209,禽,192
9210,芩,1
9226,欽,191
9231,吟,189
9232,訡,146
9233,䪩,146
9234,唫,2
9241,歆,6
9245,金,339
9246,今,226
9248,衿,4
9249,襟,173
9250,䘳,131
9251,禁,156
9255,音,250
9256,陰,264
9258,瘖,2
9261,喑,4
9263,森,253
9264,參,54
9265,曑,5
9266,蔘,171
9273,岑,137
9275,㞥,2
9282,兂,117
9283,簪,118
9286,嵾,178
9287,參,196
9293,覃,7
9295,潭,265
9296,曇,5
9300,譚,193
9303,壜,8
9309,𧂇,1
9310,蕁,1
9315,參,321
9316,驂,1
9320,南,354
9321,男,256
9322,柟,2
9323,楠,5
9327,諳,12
9330,庵,207
9337,盦,4
9339,含,376
9340,涵,27
9345,函,197
9361,婪,27
9362,惏,1
9364,嵐,9
9366,啉,2
9367,蠶,348
9372,簪,189
9379,探,51
9381,貪,334
9382,抩,1
9383,耽,223
9385,眈,7
9386,酖,1
9392,龕,151
9395,堪,189
9396,戡,1
9421,談,248
9425,淡,2
9426,痰,259
9427,澹,8
9432,甘,289
9433,柑,255
9435,苷,1
9436,泔,131
9439,擔,316
9444,三,320
9445,參,208
9446,弎,208
9448,鬖,4
9449,藍,246
9450,襤,2
9453,籃,322
9460,坩,9
9462,聃,1
9465,㘱,108
9470,慙,137
9471,慚,194
9475,酣,124
9485,蚶,66
9488,歛,1
9489,憨,90
9490,鹽,309
9491,𥂁,241
9493,閻,188
9494,壛,5
9496,檐,224
9497,簷,225
9498,櫩,188
9505,廉,200
9506,鐮,269
9507,鎌,228
9510,簾,221
9514,匳,2
9522,帘,14
9525,砭,1
9528,暹,11
9534,纖,39
9540,籤,228
9546,僉,5
9548,㡨,211
9550,詹,20
9551,瞻,166
9552,占,143
9553,蟾,127
9558,蟾,22
9559,苫,1
9570,妗,9
9573,𩓾,1
9574,髯,1
9575,蚺,1
9580,冉,2
9585,黏,281
9586,粘,249
9587,䬯,2
9588,炎,196
9589,霑,15
9590,沾,179
9593,𡝫,1
9594,淹,199
9597,醃,28
9599,閹,178
9603,尖,339
9604,殲,171
9606,㡨,1
9616,潛,194
9625,箝,244
9626,鉗,325
9630,拑,2
9631,黔,1
9658,添,309
9663,敁,112
9664,佔,18
9670,甜,394
9671,恬,7
9679,濂,2
9682,謙,294
9684,兼,300
9688,蒹,2
9691,嫌,337
9693,鮎,112
9694,䬯,1
9695,拈,245
9702,妗,2
9703,咸,253
9704,鹹,294
9705,醎,197
9706,函,2
9714,緘,4
9718,尲,151
9722,攕,1
9723,摻,4
9724,檆,241
9725,杉,342
9726,櫼,244
9734,淊,1
9736,喦,18
9743,碞,19
9755,諵,8
9756,喃,10
9757,讒,149
9760,饞,157
9765,攙,13
9770,鵮,49
9777,銜,337
9779,巉,2
9787,讒,3
9788,巖,177
9789,礹,98
9791,攙,162
9792,衫,383
9797,芟,4
9800,監,282
9806,嵌,166
9807,嚴,299
9810,杴,29
9814,醃,114
9815,腌,16
9818,凡,308
9819,帆,227
9823,颿,5
9827,董,205
9830,𢤦,245
9834,蠓,119
9839,曚,1
9840,懵,138
9841,孔,222
9847,桶,290
9849,捅,141
9850,緫,227
9851,揔,160
9852,𢝰,160
9856,蓯,1
9864,偬,1
9869,汞,161
9870,蓊,1
9877,塕,7
9888,籠,21
9889,攏,248
9895,動,372
9896,𨔝,296
9901,桶,10
9906,埲,3
9907,腫,248
9908,種,218
9909,踵,7
9913,寵,188
9916,隴,173
9917,壠,170
9919,擁,188
9920,𢶜,140
9921,壅,2
9922,宂,104
9923,⿱丿𠔿,91
9926,𣭲,61
9927,氄,61
9934,重,327
9938,冢,117
9939,塚,100
9940,奉,203
9941,唪,1
9942,捧,218
9943,勇,197
9944,恿,157
9945,涌,155
9946,甬,123
9947,踊,15
9948,慂,1
9954,蛹,8
9956,俑,7
9958,恐,289
9959,𢖶,226
9964,拱,263
9967,鞏,162
9969,孓,1
9979,巩,13
9982,悚,14
9983,竦,3
9984,慫,134
9985,聳,27
9987,㩳,4
9993,詾,1
10007,講,297
10008,港,269
10010,耩,44
10011,㭋,7
10012,棒,202
10013,棓,7
10016,蚌,194
10017,蜯,134
10022,項,259
10028,紙,373
10029,帋,274
10030,只,215
10033,枳,1
10034,咫,2
10037,砥,1
10044,是,348
10045,氏,171
10055,靡,138
10062,彼,223
10067,被,279
10068,罷,2
10069,毀,326
10070,燬,4
10079,委,266
10084,跪,12
10086,詭,194
10105,髓,222
10110,絫,148
10111,累,190
10113,䉂,1
10116,技,204
10117,妓,199
10118,徛,165
10122,倚,190
10124,椅,311
10134,綺,1
10141,螘,189
10142,蟻,275
10143,蛾,193
10162,觜,237
10163,㭰,224
10164,蘂,116
10165,蕊,60
10168,此,265
10169,跐,1
10172,泚,1
10177,豸,12
10189,徙,136
10190,壐,115
10191,璽,129
10217,𢔌,107
10218,俾,111
10227,爾,192
10229,邇,1
10234,瀰,2
10235,羋,1
10242,婢,166
10244,侈,152
